split,episode,t,DAM,BM,ref,side,q,delta,limit,cleared,reward
val,10,93,135.10000610351562,186.2100067138672,137.47999572753906,1,56.5,-18.0,119.47999572753906,0,28.877150344848634
val,10,94,131.17999267578125,177.52999877929688,137.47999572753906,1,65.9000015258789,-18.0,119.47999572753906,0,30.544654729461765
val,10,95,127.44000244140625,112.19000244140625,130.0,0,45.0,-18.0,112.0,1,6.6375
train,11,0,176.83999633789062,136.74000549316406,148.72000122070312,0,687.5999755859375,-18.0,130.72000122070312,1,272.28952738037333
train,11,1,175.0,101.97000122070312,148.72000122070312,0,697.7000122070312,-12.0,136.72000122070312,1,506.0418103369139
train,11,2,175.0,118.05999755859375,152.00999450683594,0,695.9000244140625,-18.0,134.00999450683594,1,392.7659907690436
train,11,3,171.3300018310547,128.16000366210938,143.63999938964844,0,704.2000122070312,18.0,161.63999938964844,1,300.4821323144529
train,11,4,157.0,171.52999877929688,129.19000244140625,0,678.7000122070312,24.0,153.19000244140625,1,-102.00860354980455
train,11,5,145.0,128.41000366210938,116.83000183105469,0,626.7000122070312,-6.0,110.83000183105469,1,100.83600901367143
train,11,6,140.3000030517578,169.1699981689453,111.04000091552734,0,606.2000122070312,18.0,129.04000091552734,1,-178.0409139855951
train,11,7,165.66000366210938,141.38999938964844,122.4800033569336,0,687.7999877929688,-18.0,104.4800033569336,1,163.49008648437447
train,11,8,187.10000610351562,167.3300018310547,154.52999877929688,0,783.5,24.0,178.52999877929688,1,150.98048347473144
train,11,9,199.0,100.43000030517578,160.82000732421875,0,764.4000244140625,-6.0,154.82000732421875,1,749.6471016101074
train,11,10,181.0399932861328,100.41999816894531,156.36000061035156,0,593.4000244140625,18.0,174.36000061035156,1,475.43207058593634
train,11,11,175.0,108.6500015258789,151.0,0,505.6000061035156,-18.0,133.0,1,332.9375963043212
train,11,12,160.0,197.52000427246094,141.47000122070312,0,544.0999755859375,6.0,147.47000122070312,1,-206.86683396423237
train,11,13,119.0,167.0,116.0,0,399.8999938964844,6.0,122.0,0,-191.9519970703125
train,11,14,121.62999725341797,86.41999816894531,117.0,0,323.20001220703125,24.0,141.0,0,113.79872133911122
train,11,15,114.0,125.45999908447266,112.8499984741211,0,414.79998779296875,12.0,124.8499984741211,0,-47.53607480346691
train,11,16,110.18000030517578,98.8499984741211,107.5,0,454.3999938964844,-6.0,101.5,1,49.211527659301645
train,11,17,107.61000061035156,98.55000305175781,105.0,0,520.5999755859375,18.0,123.0,0,47.166345078125595
train,11,18,107.0,83.76000213623047,104.7300033569336,0,545.0,-6.0,98.7300033569336,1,123.93298835754395
train,11,19,108.5,108.43000030517578,103.62000274658203,0,431.20001220703125,-24.0,79.62000274658203,1,-1.8541613684082403
train,11,20,110.1500015258789,100.4000015258789,108.98999786376953,0,376.3999938964844,12.0,120.98999786376953,0,36.69899940490723
train,11,21,112.5199966430664,48.29999923706055,114.0,0,104.5,-30.0,84.0,1,66.58739728927613
train,11,22,126.61000061035156,93.75,123.33999633789062,0,61.0,-30.0,93.33999633789062,1,19.739600372314452
train,11,23,157.89999389648438,145.0399932861328,165.0,0,445.6000061035156,18.0,183.0,0,57.30416350463871
train,11,24,158.8800048828125,178.27999877929688,176.83999633789062,0,424.79998779296875,-18.0,158.83999633789062,1,-84.53517164306716
train,11,25,153.19000244140625,91.58999633789062,175.0,0,440.29998779296875,-18.0,157.0,0,271.2248193542473
