split,episode,steps,ep_return,clear_rate_buy,clear_rate_sell,loss,eps,beta
train,130,96,-3433.2681830461765,39.39393939393939,57.14285714285714,443.3443908691406,0.9194400000000371,0.5271999999998919
val,130,96,2904.386108611071,nan,nan,nan,nan,nan
train,131,96,13601.268046988916,69.35483870967742,50.0,509.11846923828125,0.9185280000000375,0.5286399999998906
val,131,96,8601.681140436487,nan,nan,nan,nan,nan
train,132,96,12598.82610686474,100.0,42.857142857142854,329.293212890625,0.917616000000038,0.5300799999998894
val,132,96,129.86399141725656,nan,nan,nan,nan,nan
train,133,96,-2160.9621684207773,63.829787234042556,44.89795918367347,132.73733520507812,0.9167040000000384,0.5315199999998882
val,133,96,6824.761442443749,nan,nan,nan,nan,nan
train,134,96,-2889.835739221962,30.76923076923077,65.06024096385542,135.2103271484375,0.9157920000000388,0.532959999999887
val,134,96,-2873.8329725126614,nan,nan,nan,nan,nan
train,135,96,12685.154101344684,0.0,46.236559139784944,468.5440979003906,0.9148800000000392,0.5343999999998857
val,135,96,23839.748669700264,nan,nan,nan,nan,nan
train,136,96,717.8211960715411,26.923076923076923,37.142857142857146,337.7859802246094,0.9139680000000396,0.5358399999998845
val,136,96,1917.0202413874497,nan,nan,nan,nan,nan
train,137,96,380.97045328754274,50.0,55.952380952380956,319.71759033203125,0.9130560000000401,0.5372799999998833
val,137,96,-7703.514389016455,nan,nan,nan,nan,nan
train,138,96,963.0814327707218,30.18867924528302,34.883720930232556,308.5289001464844,0.9121440000000405,0.5387199999998821
val,138,96,5078.8333163163925,nan,nan,nan,nan,nan
train,139,96,-558.9873597437129,63.1578947368421,42.857142857142854,257.0301208496094,0.9112320000000409,0.5401599999998808
val,139,96,33058.77322440883,nan,nan,nan,nan,nan
train,140,96,4.144556573810504,46.75324675324675,42.10526315789473,398.88531494140625,0.9103200000000413,0.5415999999998796
val,140,96,-1868.9949926965646,nan,nan,nan,nan,nan
train,141,96,814.1731106696977,66.66666666666666,43.333333333333336,293.6879577636719,0.9094080000000417,0.5430399999998784
val,141,96,893.6931893115786,nan,nan,nan,nan,nan
train,142,96,-14333.9547910513,33.33333333333333,50.0,326.8934326171875,0.9084960000000422,0.5444799999998772
val,142,96,26192.467014687274,nan,nan,nan,nan,nan
train,143,96,-25970.876472050983,15.384615384615385,50.602409638554214,414.9886474609375,0.9075840000000426,0.545919999999876
val,143,96,23071.917477449893,nan,nan,nan,nan,nan
train,144,96,-1154.5690324603902,0.0,44.79166666666667,470.03656005859375,0.906672000000043,0.5473599999998747
val,144,96,2366.5919364510673,nan,nan,nan,nan,nan
train,145,96,929.9179778063784,48.0,50.70422535211267,423.5360107421875,0.9057600000000434,0.5487999999998735
val,145,96,6794.031153877932,nan,nan,nan,nan,nan
train,146,96,1342.153342848697,54.347826086956516,46.0,272.6950988769531,0.9048480000000438,0.5502399999998723
val,146,96,3358.569508696243,nan,nan,nan,nan,nan
train,147,96,-2825.857411798793,68.42105263157895,57.14285714285714,290.6395263671875,0.9039360000000443,0.551679999999871
val,147,96,12073.041593821194,nan,nan,nan,nan,nan
train,148,96,-681.4218054548921,58.620689655172406,58.2089552238806,345.26300048828125,0.9030240000000447,0.5531199999998698
val,148,96,1442.029813796079,nan,nan,nan,nan,nan
train,149,96,-1238.1131829536457,58.620689655172406,49.25373134328358,210.75051879882812,0.9021120000000451,0.5545599999998686
val,149,96,-6529.025954950333,nan,nan,nan,nan,nan
train,150,96,1385.3734949804762,38.46153846153847,47.14285714285714,164.18084716796875,0.9012000000000455,0.5559999999998674
val,150,96,18931.691974218975,nan,nan,nan,nan,nan
train,151,96,-329.93387385643047,52.17391304347826,58.9041095890411,196.0128173828125,0.9002880000000459,0.5574399999998662
val,151,96,-5819.2426113319,nan,nan,nan,nan,nan
